%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 20.00 < q2 < 21.00 GeV^{2}/c^{4}

# AFB     FH   p-value
0.1545  0.365  0.03
0.1545  0.375  0.05
0.1545  0.385  0.03
0.1545  0.395  0.02
0.1615  0.325  0.04
0.1615  0.335  0.06
0.1615  0.345  0.04
0.1615  0.355  0.03
0.1615  0.365  0.06
0.1615  0.375  0.04
0.1615  0.385  0.05
0.1615  0.395  0.04
0.1685  0.345  0.02
0.1685  0.355  0.05
0.1685  0.365  0.05
0.1685  0.375  0.05
0.1685  0.385  0.01
0.1685  0.395  0.04
0.1755  0.355  0.05
0.1755  0.365  0.05
0.1755  0.375  0.03
0.1755  0.385  0.03
0.1755  0.395  0.01
0.1825  0.365  0.0
0.1825  0.375  0.01
0.1825  0.385  0.03
0.1825  0.395  0.03
0.1895  0.385  0.03
0.1895  0.395  0.04
